serology_name,mapped_serology_name
Anti HBc,Anti HBc
Anti-HBc,Anti HBc
Hepatitis BC Ab,Anti HBc
Anti-HBcAb,Anti HBc
Anti HCV,Anti HCV
Anti-HCV,Anti HCV
HCV Ab,Anti HCV
HCV_AB,Anti HCV
Hepatitis C Ab,Anti HCV
Anti HIV 1 and 2,Anti HIV 1 and 2
Anti-HIV I/II,Anti HIV 1 and 2
HIV I/II,Anti HIV 1 and 2
Anti-HTLV I/II,Anti-HTLV I/II
HTLV I/II AB,Anti-HTLV I/II
EBV IgG,EBV IgG
EBV_IgG,EBV IgG
EBV IgM,EBV IgM
EBV_IgM,EBV IgM
HBC_Total_AB,HBc Total
HBc Total,HBc Total
HBsAG,HbsAg
HBsAg,HbsAg
HBsAg#,HbsAg
HbsAg,HbsAg
Hepatitis Bs Ag,HbsAg
HBV NAT,HBV NAT
HBV_NAT,HBV NAT
NAT HBV,HBV NAT
HCV NAT,HCV NAT
HCV_NAT,HCV NAT
NAT HCV,HCV NAT
RPR,RPR
RPR#,RPR
HIV Ag/Ab Combo,HIV Ag/Ab Combo
HIV Ag/Ab Combo Assay,HIV Ag/Ab Combo
HIV NAT,HIV NAT
HIV_NAT,HIV NAT
NAT HIV,HIV NAT
HIV-1/HCV/HBV NAT (ULTRIO),HIV-1/HCV/HBV NAT (ULTRIO)
HIV-1/HCV/HBV NAT Ultrio,HIV-1/HCV/HBV NAT (ULTRIO)
HTLV I/II,HTLV I/II
HTLV_I_II,HTLV I/II
Toxo Ab IgG,Toxo Ab IgG
Toxo_IgG,Toxo Ab IgG
Anti-CMV,Anti-CMV
CMV,Anti-CMV
Other1,Other
Other2,Other
Other3,Other
Other4,Other
Other5,Other
ABO/Rh,ABO/Rh
CMV IgM,CMV IgM
Chagas,Chagas
Chagas NAT,Chagas NAT
Syphilis,Syphilis
Confirmatory - Syphilis,Confirmatory - Syphilis
EBNA,EBNA
EBV,EBV
EBV (VCA) (IgG),EBV (VCA) (IgG)
EBV (VCA) (IgM),EBV (VCA) (IgM)
HBcAB IgM,HBcAB IgM
HBsAb,HBsAb
HBV DNA,HBV DNA
HCV NAT (TMA),HCV NAT (TMA)
HCV RNA,HCV RNA
HIV,HIV
HIV 1/2 plus O Ab,HIV 1/2 plus O Ab
HIV NAT (TMA),HIV NAT (TMA)
HIV O EIA,HIV O EIA
HIV-1 RNA,HIV-1 RNA
HTLV NAT,HTLV NAT
MHATP,MHATP
RPR/VDRL,RPR/VDRL
Strongyloides,Strongyloides
WNV,WNV
WNV NAT,WNV NAT
WNV RNA,WNV RNA
